code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600012,2017-04-28,2017-03-31,0.033260,0.415861,0.599974,298036251.650000,0.586388,,1658610000.00,1165600000.00
sh.600012,2018-04-27,2018-03-31,0.028178,0.362875,0.555715,264333984.410000,0.642622,,1658610000.00,1165600000.00
sh.600012,2019-04-27,2019-03-31,0.028296,0.386884,0.582044,290128490.670000,0.689742,,1658610000.00,1165600000.00
sh.600012,2020-04-29,2020-03-31,-0.002438,-0.274031,-0.160404,-74644915.580000,0.471703,,1658610000.00,1165600000.00
sh.600012,2021-04-29,2021-03-31,0.030747,0.426752,0.640001,361637023.990000,0.781839,,1658610000.00,1165600000.00
sh.600012,2022-04-30,2022-03-31,0.035028,0.418974,0.628389,404833684.130000,0.927487,,1658610000.00,1165600000.00
sh.600012,2023-04-28,2023-03-31,0.037800,0.418022,0.630078,478671148.350000,0.903424,,1658610000.00,1165600000.00
sh.600012,2024-04-27,2024-03-31,0.035670,0.368914,0.492871,474742275.920000,1.000921,,1658610000.00,1165600000.00
sh.600012,2025-04-29,2025-03-31,0.043336,0.196649,0.276411,554813222.400000,1.022661,,1658610000.00,1165600000.00
sh.600010,2019-04-30,2019-03-31,0.009240,0.036210,0.165453,486747943.910000,0.069630,,45585032648.00,31677211587.00
