code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600006,2016-04-30,2016-03-31,0.018804,0.030004,0.167691,99342964.250000,0.164398,,2000000000.00,2000000000.00
sh.600007,2018-04-28,2018-03-31,0.030703,0.259489,0.520645,201760700.000000,0.672916,,1007282534.00,1007282534.00
sh.600008,2018-04-27,2018-03-31,0.006876,0.057184,0.333026,121062118.490000,0.123076,,4820614124.00,4820614124.00
sh.600006,2021-04-30,2021-03-31,0.034344,0.068576,0.118747,271844092.790000,0.427141,,2000000000.00,2000000000.00
sh.600008,2021-04-30,2021-03-31,0.011466,0.082045,0.311370,347567605.830000,0.224929,,7340590677.00,7340590677.00
sh.600006,2024-04-30,2024-03-31,0.016721,0.042670,0.096199,140232827.080000,0.122262,,2000000000.00,2000000000.00
sh.600008,2022-04-30,2022-03-31,0.011521,0.089893,0.320751,424545480.700000,0.312203,,7340590677.00,7340590677.00
sh.600009,2017-04-28,2017-03-31,0.034876,0.437623,0.453529,829365876.660000,1.534044,,1926958448.00,1093476397.00
sh.600006,2025-04-30,2025-03-31,0.018105,0.057634,0.062705,151479409.080000,0.020130,,2000000000.00,2000000000.00
