code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600004,2019-04-30,2019-03-31,0.014211,0.127842,0.213408,245198980.860000,0.444560,,2069320514.00,2069320514.00
sh.600004,2024-04-27,2024-03-31,0.010604,0.119635,0.255634,198973042.000000,0.247084,,2366718283.00,2366718283.00
sh.600000,2021-04-30,2021-03-31,0.028901,0.380780,,18857000000.000000,2.032594,,29352144412.00,29352144412.00
sh.600004,2025-04-30,2025-03-31,0.015998,0.168430,0.278485,306795021.890000,0.436936,,2366718283.00,2366718283.00
