date,open,high,low,close,volume,amount,turn
2026-01-05,39.5400000000,40.5100000000,39.4500000000,40.1100000000,5004452,200578453.2000,0.625600
2026-01-06,40.1100000000,40.2700000000,39.8100000000,40.2400000000,3954300,158606999.0000,0.494300
2026-01-07,40.2500000000,40.5000000000,39.6800000000,39.7800000000,5485700,218813652.8700,0.685700
2026-01-08,39.6100000000,39.8800000000,39.2500000000,39.6900000000,3941028,155846214.4000,0.492600
2026-01-09,39.7500000000,40.2900000000,39.5500000000,39.8400000000,4070100,162252547.4500,0.508800
2026-01-12,39.6900000000,40.3000000000,39.6900000000,40.1800000000,6716464,269384789.3300,0.839600
2026-01-13,40.1300000000,40.3500000000,39.4400000000,39.5600000000,5897138,235326927.4300,0.737100
2026-01-14,39.4200000000,40.1500000000,39.0600000000,39.3400000000,6343046,251104622.3700,0.792900
2026-01-15,39.3000000000,39.7800000000,38.9300000000,39.0800000000,4994800,195981219.1000,0.624400
2026-01-16,39.1400000000,39.2600000000,38.8000000000,38.9900000000,4626704,180227096.3200,0.578300
2026-01-19,38.8900000000,39.3000000000,38.6100000000,39.2400000000,4664600,182401734.0100,0.583100
2026-01-20,39.2600000000,40.2000000000,39.1500000000,39.8800000000,8611599,343824034.0300,1.076400
2026-01-21,39.9400000000,39.9400000000,38.8900000000,38.9600000000,6802000,265886581.0000,0.850300
2026-01-22,38.9400000000,39.0500000000,38.7000000000,38.8400000000,3329948,129356872.0400,0.416200
2026-01-23,38.8900000000,39.2700000000,38.8000000000,39.1200000000,3214001,125310302.2200,0.401800
2026-01-26,38.8600000000,39.0700000000,38.4200000000,38.9600000000,3795497,147083922.1700,0.474400
2026-01-27,38.7900000000,38.8800000000,38.3000000000,38.5100000000,2933008,112897604.9800,0.366600
2026-01-28,38.4100000000,39.0000000000,38.3500000000,38.7500000000,2870249,110996019.5000,0.358800
2026-01-29,38.7600000000,42.6300000000,38.6800000000,42.6300000000,21396204,878279985.3300,2.674500
2026-01-30,42.2100000000,42.2100000000,40.6200000000,40.6300000000,15836952,649349228.2600,1.979600
2026-02-02,40.5800000000,42.6000000000,40.3900000000,41.6300000000,13858529,579763826.2700,1.732300
2026-02-03,41.1000000000,42.3600000000,41.0700000000,41.5800000000,8164240,339311875.6600,1.020500
2026-02-04,41.4100000000,43.0500000000,41.2300000000,42.7000000000,13097003,554009118.5100,1.637100
2026-02-05,42.3200000000,43.1000000000,42.0300000000,42.3600000000,9357769,398731631.2200,1.169700
2026-02-06,42.0800000000,42.9000000000,41.8100000000,42.2700000000,8066218,341873623.9500,1.008300
2026-02-09,42.1600000000,42.1600000000,41.0000000000,41.7400000000,7890463,327611796.1000,0.986300
2026-02-10,41.5700000000,41.5700000000,40.5700000000,40.8700000000,5169080,211152088.0000,0.646100
2026-02-11,40.8000000000,41.0000000000,40.4000000000,40.7500000000,3968700,161484481.0000,0.496100
2026-02-12,40.8400000000,40.8900000000,39.6200000000,39.6800000000,5581930,223336400.7400,0.697700
2026-02-13,39.8700000000,40.1800000000,39.3100000000,39.3300000000,4168454,165855852.0400,0.521100
2026-02-24,39.7300000000,39.7800000000,38.5400000000,38.7300000000,4787512,185780248.7700,0.598400
2026-02-25,38.8000000000,38.9900000000,38.7000000000,38.9500000000,2658213,103291015.6600,0.332300
2026-02-26,38.9000000000,39.0800000000,38.0000000000,38.1100000000,5817200,222694572.5400,0.727200
2026-02-27,38.1300000000,38.2800000000,37.7500000000,38.0200000000,3092027,117282403.8000,0.386500
2026-03-02,37.6400000000,37.6400000000,36.8200000000,36.9100000000,3986796,147892767.6400,0.498300
2026-03-03,36.7500000000,37.4800000000,36.3400000000,36.7400000000,4186100,154525818.5000,0.523300
2026-03-04,36.5700000000,36.5700000000,35.5100000000,35.6100000000,4128595,147935721.3300,0.516100
2026-03-05,35.7600000000,36.0900000000,35.7200000000,35.7900000000,2358674,84754299.4600,0.294800
2026-03-06,35.8500000000,36.4000000000,35.6000000000,36.3700000000,2324087,83913343.7400,0.290500
2026-03-09,36.0000000000,36.3000000000,35.7500000000,35.9800000000,2726147,97905323.8300,0.340800
2026-03-10,36.1900000000,36.1900000000,35.7700000000,35.9100000000,3029200,108822278.4800,0.378700
2026-03-11,35.9700000000,35.9700000000,35.6800000000,35.7400000000,2309676,82628543.4400,0.288700
2026-03-12,35.7100000000,35.7200000000,35.1500000000,35.4300000000,3556298,126102189.8000,0.444500
2026-03-13,35.3200000000,35.7000000000,35.1800000000,35.4800000000,2262300,80365174.2000,0.282800
2026-03-16,35.3400000000,36.0200000000,35.3400000000,35.8500000000,3238671,115959957.8400,0.404800
2026-03-17,35.8300000000,35.9200000000,35.5000000000,35.6900000000,2432000,86867437.0000,0.304000
2026-03-18,35.7600000000,35.7800000000,35.3300000000,35.5300000000,2244683,79657051.7600,0.280600
2026-03-19,35.3500000000,35.4000000000,34.1800000000,34.2000000000,3570816,123959977.2800,0.446400
2026-03-20,34.3300000000,34.4400000000,33.5000000000,33.5000000000,3231595,109632172.3300,0.403900
2026-03-23,32.7100000000,33.0000000000,31.7500000000,31.8400000000,4801121,155118633.0200,0.600100
2026-03-24,32.7900000000,32.8100000000,31.8600000000,32.4700000000,2295118,73849986.1400,0.286900
2026-03-25,32.4600000000,32.6800000000,32.3200000000,32.6000000000,2160340,70313133.2000,0.270000
