date,open,high,low,close,volume,amount,turn
2026-01-05,6.2300000000,6.3000000000,6.1500000000,6.3000000000,15103271,94010623.7700,1.265600
2026-01-06,6.2800000000,6.5500000000,6.2500000000,6.5000000000,20578756,132729389.6000,1.724500
2026-01-07,6.5000000000,6.6500000000,6.4000000000,6.5700000000,16990744,110730412.2800,1.423800
2026-01-08,6.5000000000,6.6600000000,6.4800000000,6.5900000000,11095132,73164515.9900,0.929800
2026-01-09,6.5900000000,6.6700000000,6.5500000000,6.6500000000,12110248,80069619.0400,1.014800
2026-01-12,6.6500000000,6.6600000000,6.4300000000,6.5400000000,20285436,132141807.4800,1.699900
2026-01-13,6.5700000000,6.6000000000,6.4400000000,6.5100000000,14777785,96433665.3600,1.238400
2026-01-14,6.5300000000,6.5500000000,6.3000000000,6.3700000000,20198260,130022275.2000,1.692600
2026-01-15,6.3500000000,6.4100000000,6.2300000000,6.2600000000,11716160,73824617.8000,0.981800
2026-01-16,6.2900000000,6.3100000000,6.2000000000,6.2100000000,9781951,61048058.2400,0.819700
2026-01-19,6.1900000000,6.3500000000,6.1600000000,6.2800000000,10139303,63536289.2400,0.849700
2026-01-20,6.3000000000,6.3300000000,6.2200000000,6.2500000000,8345968,52246380.9600,0.699400
2026-01-21,6.2500000000,6.2800000000,6.1900000000,6.2000000000,10736966,67009825.1400,0.899700
2026-01-22,6.2000000000,6.7100000000,6.2000000000,6.6200000000,33270884,215915178.3200,2.788100
2026-01-23,6.6200000000,6.8900000000,6.5500000000,6.7500000000,28155471,190210421.0100,2.359400
2026-01-26,6.7200000000,6.8000000000,6.6000000000,6.7800000000,17989370,120269669.8400,1.507500
2026-01-27,6.7500000000,6.8400000000,6.5700000000,6.7600000000,16850888,112940508.1600,1.412100
2026-01-28,6.7500000000,6.7500000000,6.6000000000,6.6100000000,11799794,78679266.6200,0.988800
2026-01-29,6.6100000000,6.6700000000,6.5100000000,6.6000000000,10155140,67081358.8400,0.851000
2026-01-30,6.6000000000,6.6400000000,6.4200000000,6.5400000000,10678081,69666558.3000,0.894800
2026-02-02,6.5100000000,6.7200000000,6.3900000000,6.4000000000,12724700,83392874.0000,1.066300
2026-02-03,6.4400000000,6.4900000000,6.3900000000,6.4800000000,5636787,36315614.2800,0.472400
2026-02-04,6.4500000000,6.6100000000,6.4300000000,6.5900000000,9925917,65058843.2300,0.831800
2026-02-05,6.6000000000,6.6800000000,6.5200000000,6.6200000000,9066800,59791995.0000,0.759800
2026-02-06,6.5400000000,6.8200000000,6.5400000000,6.6900000000,16770320,112442767.9600,1.405300
2026-02-09,6.6700000000,6.8300000000,6.6600000000,6.8000000000,13500580,91355300.4000,1.131300
2026-02-10,6.8300000000,6.8400000000,6.7200000000,6.7500000000,7496800,50598590.0000,0.628200
2026-02-11,6.7200000000,7.0200000000,6.7100000000,6.9300000000,18941300,130188064.0000,1.587300
2026-02-12,6.8900000000,6.9600000000,6.8300000000,6.8400000000,11988400,82466269.0000,1.004600
2026-02-13,6.8800000000,6.9500000000,6.7800000000,6.7800000000,8751813,60073842.1400,0.733400
2026-02-24,6.8300000000,6.8600000000,6.7000000000,6.7800000000,8135828,55062695.9600,0.681800
2026-02-25,6.8200000000,7.1300000000,6.7900000000,7.1000000000,21249389,149117182.8600,1.780700
2026-02-26,7.1200000000,7.2500000000,7.0300000000,7.0600000000,11101000,78712831.0000,0.930300
2026-02-27,7.0600000000,7.2000000000,6.9600000000,7.1600000000,15221976,107628780.6800,1.275600
2026-03-02,7.1500000000,7.3800000000,7.0600000000,7.1700000000,17287909,124310668.2700,1.448700
2026-03-03,7.1100000000,7.4000000000,7.0500000000,7.0600000000,27147000,195757262.6000,2.274900
2026-03-04,7.0000000000,7.1000000000,6.8700000000,7.0300000000,17158860,119900116.2000,1.437900
2026-03-05,7.0500000000,7.3600000000,7.0500000000,7.1600000000,22374785,161303829.7000,1.875000
2026-03-06,7.1600000000,7.5300000000,7.0300000000,7.3400000000,31561167,230819821.0300,2.644800
2026-03-09,7.4700000000,7.9200000000,7.3700000000,7.6300000000,68569902,529029116.5800,5.746100
2026-03-10,7.6300000000,7.6300000000,7.3300000000,7.3800000000,27056168,200791410.7900,2.267300
2026-03-11,7.3900000000,7.5100000000,7.3100000000,7.4800000000,18882700,140024880.0000,1.582400
2026-03-12,7.4800000000,8.0700000000,7.4300000000,7.9600000000,44483328,352935692.7600,3.727700
2026-03-13,8.1600000000,8.2400000000,7.8300000000,8.0500000000,39478428,318561912.9400,3.308300
2026-03-16,8.0500000000,8.2700000000,8.0500000000,8.0500000000,23181154,188560812.8800,1.942600
2026-03-17,8.0000000000,8.0600000000,7.6700000000,7.6800000000,22341077,175024512.1500,1.872200
2026-03-18,7.7500000000,8.0500000000,7.7000000000,7.9400000000,23454067,185025200.3200,1.965400
2026-03-19,7.9500000000,8.1200000000,7.6500000000,7.7800000000,23444643,184142678.3400,1.964600
2026-03-20,7.7800000000,8.2000000000,7.7200000000,7.8800000000,31510480,253932974.3200,2.640600
2026-03-23,7.7900000000,7.8000000000,7.2600000000,7.3100000000,43056182,324114998.7300,3.608100
2026-03-24,7.4600000000,7.4900000000,7.1200000000,7.1900000000,26136650,189178878.2000,2.190200
2026-03-25,7.2000000000,7.3000000000,7.0000000000,7.1800000000,28925353,206386500.3200,2.423900
