date,open,high,low,close,volume,amount,turn
2026-01-05,73.0800000000,78.7800000000,70.5000000000,76.9600000000,17782314,1353764219.8300,3.485800
2026-01-06,76.0000000000,78.8500000000,75.1800000000,75.4000000000,15026006,1151833309.1800,2.945500
2026-01-07,74.0000000000,82.9400000000,73.5000000000,81.4000000000,24233025,1932220272.0300,4.750300
2026-01-08,81.8100000000,81.9300000000,77.8200000000,78.0300000000,14342247,1138978300.5500,2.811400
2026-01-09,78.0400000000,85.8300000000,76.2000000000,85.8300000000,32413388,2629643524.1000,6.353800
2026-01-12,89.3600000000,89.6700000000,83.4500000000,84.2400000000,22205067,1892906572.7500,4.352700
2026-01-13,84.2400000000,86.0600000000,82.3600000000,83.6000000000,14609130,1229512178.2900,2.863700
2026-01-14,90.0000000000,91.9600000000,88.9600000000,91.9600000000,9095273,832447367.1800,1.782900
2026-01-15,93.0000000000,96.9700000000,89.0000000000,90.7000000000,23613802,2179506559.3400,4.628900
2026-01-16,91.6900000000,99.7700000000,91.6900000000,99.7700000000,30919769,3032191880.1300,6.061000
2026-01-19,99.2000000000,108.4100000000,98.1100000000,103.7100000000,30596734,3178449536.5600,5.997700
2026-01-20,103.8500000000,105.1400000000,97.7100000000,99.7700000000,22211724,2232846710.1200,4.354000
2026-01-21,98.0000000000,100.8800000000,95.6300000000,96.1000000000,23087474,2248459113.8200,4.525700
2026-01-22,96.5500000000,100.5500000000,95.8000000000,96.8100000000,15938871,1555859971.1500,3.124400
2026-01-23,98.7400000000,99.9900000000,94.2100000000,95.5900000000,16655955,1594714994.0500,3.265000
2026-01-26,95.4300000000,96.0000000000,90.4500000000,91.6000000000,19418777,1791133679.6400,3.806500
2026-01-27,91.8800000000,93.8400000000,89.6200000000,92.7800000000,14080277,1294140297.6800,2.760100
2026-01-28,92.4700000000,92.5000000000,88.7000000000,89.9200000000,13227361,1191248109.5500,2.592900
2026-01-29,90.1200000000,91.5400000000,86.3000000000,86.6000000000,14599156,1288075300.7400,2.861800
2026-01-30,86.6200000000,88.6100000000,83.9000000000,86.8100000000,14925162,1290747823.4400,2.925700
2026-02-02,85.3900000000,89.2600000000,85.0000000000,85.0600000000,15557438,1349712232.9700,3.049600
2026-02-03,86.2700000000,87.5000000000,84.3000000000,87.1000000000,11972403,1031345330.7500,2.346900
2026-02-04,86.5700000000,87.6600000000,85.5100000000,86.8500000000,8274196,717409076.0400,1.621900
2026-02-05,86.8500000000,87.0000000000,83.9100000000,84.7800000000,7383421,626477036.7200,1.447300
2026-02-06,83.8700000000,88.7800000000,83.0100000000,87.8000000000,16238297,1408519224.5500,3.183100
2026-02-09,88.4900000000,88.4900000000,84.3100000000,84.6300000000,13327111,1136732250.6600,2.612400
2026-02-10,84.6600000000,87.1500000000,83.2400000000,85.9000000000,14096398,1203284057.9300,2.763200
2026-02-11,85.5800000000,85.5800000000,82.5000000000,82.8000000000,10624698,886712985.2400,2.082700
2026-02-12,82.5800000000,87.4900000000,82.3600000000,84.9500000000,11440333,978260838.2500,2.242600
2026-02-13,84.1200000000,84.9000000000,82.5700000000,83.3100000000,7291669,611568490.7000,1.429300
2026-02-24,86.0000000000,87.0000000000,81.6400000000,82.3000000000,10284997,852271668.0300,2.016100
2026-02-25,81.9800000000,85.7500000000,80.8800000000,84.6200000000,11678082,975314164.8100,2.289200
2026-02-26,84.6300000000,86.4900000000,83.6900000000,84.9300000000,9255254,787101429.9500,1.814300
2026-02-27,84.7600000000,86.9800000000,83.9200000000,84.5600000000,7447525,632004320.7400,1.459900
2026-03-02,82.0000000000,83.8000000000,80.9000000000,81.6900000000,12385720,1016281653.9700,2.427900
2026-03-03,81.7000000000,83.5900000000,77.8000000000,77.9500000000,12730152,1010812211.7700,2.495400
2026-03-04,77.0900000000,78.4800000000,75.3500000000,76.1100000000,11656047,892517125.0900,2.284900
2026-03-05,77.6300000000,77.7000000000,75.5300000000,76.2200000000,7169031,547686197.5900,1.405300
2026-03-06,76.5000000000,81.5000000000,75.6500000000,79.5100000000,11859371,940451193.8900,2.324700
2026-03-09,76.0600000000,77.1000000000,73.6900000000,76.7900000000,11425196,859727997.0300,2.239600
2026-03-10,78.0000000000,80.2000000000,77.5500000000,79.5700000000,10112860,799164216.2800,1.982400
2026-03-11,80.0200000000,80.8000000000,77.9800000000,78.4500000000,9061378,713906951.7200,1.776200
2026-03-12,78.7900000000,79.9000000000,76.6000000000,77.9800000000,7707768,601935341.1700,1.510900
2026-03-13,77.3200000000,78.2000000000,75.5100000000,75.7700000000,6714854,514935478.9500,1.316300
2026-03-16,75.9100000000,75.9100000000,71.2000000000,72.9500000000,13331612,967528000.3400,2.613300
2026-03-17,73.1900000000,73.5000000000,70.0000000000,70.5000000000,8550834,614978596.4400,1.676200
2026-03-18,71.3500000000,72.3300000000,70.5700000000,72.0100000000,6273144,449177696.0700,1.229700
2026-03-19,70.7200000000,71.5900000000,69.0000000000,69.5300000000,9947230,696016607.7900,1.949900
2026-03-20,69.7300000000,70.9600000000,64.0000000000,64.0000000000,21083786,1394281769.6800,4.132900
2026-03-23,63.4800000000,64.6600000000,59.8000000000,60.1600000000,20951437,1291913081.2600,4.107000
2026-03-24,61.9300000000,62.0000000000,58.1100000000,60.0000000000,14542396,861037754.5500,2.850700
2026-03-25,60.8400000000,66.0000000000,60.0300000000,66.0000000000,17595661,1123672867.7300,3.449200
