date,open,high,low,close,volume,amount,turn
2026-01-05,35.5000000000,36.2300000000,35.2000000000,35.9200000000,22649372,809020338.9300,4.762600
2026-01-06,35.9400000000,36.5800000000,35.7000000000,36.3800000000,22717044,821107895.8300,4.776800
2026-01-07,36.5000000000,36.5000000000,35.7800000000,36.0800000000,16498272,594462998.2700,3.469200
2026-01-08,35.8500000000,37.3400000000,35.7300000000,37.1000000000,27005335,993693086.7400,5.678600
2026-01-09,38.0000000000,40.8100000000,37.8700000000,39.4100000000,52224079,2063942117.7900,10.981400
2026-01-12,39.4100000000,42.5000000000,39.3900000000,42.3000000000,46784660,1918931476.1100,9.837700
2026-01-13,42.0800000000,42.1000000000,38.9100000000,39.5200000000,39614555,1575295559.3400,8.330000
2026-01-14,39.5200000000,41.1200000000,38.7300000000,39.7800000000,33925304,1358751934.9800,7.133700
2026-01-15,39.3000000000,39.6600000000,38.1800000000,38.8500000000,21311546,826985995.7200,4.481300
2026-01-16,39.0000000000,40.7800000000,38.3000000000,39.5300000000,21879951,861024625.6800,4.600800
2026-01-19,39.3700000000,40.8800000000,39.0300000000,39.7900000000,18504519,740954780.2200,3.891000
2026-01-20,39.7800000000,40.1700000000,37.8500000000,38.5500000000,20164762,779270243.4900,4.240200
2026-01-21,38.1800000000,40.1000000000,38.1600000000,39.6400000000,20034970,793386044.6700,4.212900
2026-01-22,39.6700000000,40.5000000000,39.2700000000,39.7500000000,15918189,634957371.5700,3.347200
2026-01-23,40.1000000000,42.7500000000,39.7500000000,42.1200000000,34544683,1431358391.8200,7.263900
2026-01-26,43.0500000000,43.5300000000,40.6600000000,41.3400000000,25767416,1077967954.8500,5.418300
2026-01-27,40.9700000000,43.3400000000,40.0100000000,42.6600000000,25895253,1082484703.7900,5.445100
2026-01-28,42.8000000000,43.5300000000,41.7300000000,43.2600000000,27339068,1165478259.5200,5.748700
2026-01-29,41.6400000000,41.7100000000,38.9300000000,38.9300000000,39321308,1579478874.2300,8.268300
2026-01-30,38.6100000000,39.7000000000,37.6000000000,39.2000000000,21180428,817474882.2300,4.453700
2026-02-02,38.9800000000,39.9300000000,38.9300000000,39.0300000000,13834313,544712312.4600,2.909000
2026-02-03,39.3500000000,40.6700000000,39.1000000000,40.4800000000,15584517,625027437.3700,3.277000
2026-02-04,40.3000000000,40.6600000000,38.5000000000,38.7400000000,17785872,699951079.6500,3.739900
2026-02-05,38.4100000000,38.9300000000,37.4200000000,38.1500000000,15021779,571158481.2300,3.158700
2026-02-06,37.9800000000,38.9000000000,37.7200000000,37.9800000000,11356056,435503440.0600,2.387900
2026-02-09,38.7100000000,40.6000000000,38.5000000000,40.0600000000,20898369,833912544.0800,4.394400
2026-02-10,39.9000000000,40.0000000000,39.0100000000,39.4000000000,9335561,368508191.2200,1.963000
2026-02-11,39.2100000000,40.0200000000,38.9100000000,39.0300000000,9774160,385759701.4400,2.055300
2026-02-12,39.0300000000,40.1500000000,38.7000000000,39.8100000000,12143443,480924981.2400,2.553500
2026-02-13,39.5900000000,39.8600000000,38.9500000000,39.0200000000,8692669,342420215.2300,1.827900
2026-02-24,40.5500000000,41.1500000000,40.0500000000,40.4700000000,17362039,705926903.4700,3.650800
2026-02-25,40.5900000000,41.0600000000,40.2800000000,40.5500000000,15099111,615145523.0000,3.175000
2026-02-26,40.4100000000,44.2000000000,39.9100000000,43.5000000000,32522058,1379771258.7200,6.838600
2026-02-27,43.0000000000,43.4800000000,42.3000000000,43.3000000000,19622986,844430924.1600,4.126200
2026-03-02,43.5800000000,44.0000000000,42.5000000000,43.0100000000,20162904,868091206.3800,4.239800
2026-03-03,43.0000000000,43.1000000000,38.7800000000,38.8300000000,25479481,1031890904.4300,5.357700
2026-03-04,38.3100000000,39.7800000000,38.2500000000,38.5500000000,16382300,638537037.0500,3.444800
2026-03-05,39.3000000000,39.4500000000,37.9500000000,38.4200000000,12483228,483201997.9800,2.624900
2026-03-06,38.1200000000,39.1100000000,37.6100000000,38.6100000000,9672272,372150050.8000,2.033800
2026-03-09,37.5000000000,37.5100000000,35.7800000000,36.5300000000,18055535,658035890.5700,3.796600
2026-03-10,37.9000000000,39.5400000000,37.9000000000,39.1600000000,20182995,783522891.8000,4.244000
2026-03-11,39.2400000000,39.6500000000,38.6900000000,39.0100000000,10923902,427900256.2700,2.297000
2026-03-12,38.8300000000,39.1400000000,37.8200000000,38.5000000000,8809131,338741428.1400,1.852300
2026-03-13,38.2500000000,38.3300000000,37.1000000000,37.2000000000,8537800,322113986.7500,1.795300
2026-03-16,37.2100000000,38.0600000000,36.5000000000,37.7800000000,9121193,339199858.8300,1.918000
2026-03-17,37.7800000000,37.9300000000,37.0500000000,37.3000000000,7271201,271967490.2800,1.529000
2026-03-18,37.3000000000,37.9800000000,37.1200000000,37.8800000000,7210855,271507379.2600,1.516300
2026-03-19,37.3900000000,37.4800000000,36.7600000000,36.9000000000,6163948,228595451.2900,1.296100
2026-03-20,37.1000000000,37.3600000000,35.9800000000,36.0000000000,6779525,247744941.0600,1.425600
2026-03-23,35.1600000000,35.3000000000,33.4800000000,33.8400000000,9463670,325796969.6700,1.990000
2026-03-24,34.5800000000,34.7700000000,33.6800000000,34.7000000000,6643241,227822504.2800,1.396900
2026-03-25,34.9800000000,35.6400000000,34.9800000000,35.3600000000,5906024,208601711.2600,1.241900
