date,open,high,low,close,volume,amount,turn
2026-01-05,32.5800000000,33.7900000000,32.5100000000,33.3400000000,6494985,216900676.2300,2.596800
2026-01-06,33.2000000000,36.1100000000,33.1200000000,35.5500000000,13704704,477993653.3200,5.479300
2026-01-07,35.5000000000,35.9800000000,35.0800000000,35.2000000000,7151166,253587111.3200,2.859100
2026-01-08,35.3400000000,36.2400000000,35.0200000000,35.2300000000,5635060,199216637.6400,2.253000
2026-01-09,35.1900000000,36.7100000000,34.9400000000,36.6400000000,11258141,403082859.1700,4.501200
2026-01-12,36.9300000000,37.8400000000,36.0200000000,36.3300000000,14240635,522773655.4900,5.693600
2026-01-13,37.3200000000,43.6000000000,36.4100000000,41.3400000000,41961107,1720817080.2400,16.776700
2026-01-14,40.7400000000,42.5800000000,39.3200000000,39.8800000000,30692505,1253869829.6900,12.271300
2026-01-15,39.5000000000,40.1500000000,37.5600000000,38.0800000000,17528372,675690168.0100,7.008100
2026-01-16,37.9900000000,38.9000000000,37.1300000000,37.2000000000,10792165,406679146.2000,4.314900
2026-01-19,37.5500000000,38.2200000000,36.7100000000,36.7900000000,10114647,376818745.5900,4.044000
2026-01-20,37.0700000000,37.8000000000,36.7600000000,37.3800000000,10601214,394487790.6400,4.238500
2026-01-21,37.2900000000,38.2500000000,36.8000000000,38.1100000000,10908858,412528594.8500,4.361500
2026-01-22,37.8600000000,39.0400000000,37.8600000000,38.1900000000,9060604,348527776.9800,3.622600
2026-01-23,38.3500000000,39.1600000000,38.1900000000,38.9000000000,8270845,320046873.2000,3.306800
2026-01-26,38.9300000000,39.6500000000,38.0600000000,38.4000000000,10584330,409171452.0500,4.231800
2026-01-27,38.1000000000,38.6300000000,36.7800000000,38.1700000000,8224153,308681643.5400,3.288100
2026-01-28,38.0000000000,38.5600000000,36.9300000000,37.1900000000,6774294,253217746.2600,2.708500
2026-01-29,37.1000000000,38.1100000000,36.6300000000,37.2100000000,7529369,281673539.2300,3.010400
2026-01-30,37.2600000000,37.3300000000,35.3100000000,36.3900000000,7765075,280601584.7900,3.104600
2026-02-02,36.2800000000,36.7800000000,35.0300000000,35.0600000000,6890988,246615412.1000,2.755100
2026-02-03,35.3600000000,35.9000000000,34.9700000000,35.6900000000,5176713,183539746.7600,2.069700
2026-02-04,35.8500000000,36.5800000000,35.4100000000,36.4700000000,5954150,214744646.2100,2.380600
2026-02-05,36.2000000000,37.6300000000,36.1900000000,36.8800000000,7706027,284215505.3600,3.081000
2026-02-06,36.6500000000,37.0500000000,36.1100000000,36.1200000000,4725086,172785416.4300,1.889200
2026-02-09,36.3500000000,36.5900000000,35.5800000000,35.6400000000,5579745,200295786.3300,2.230900
2026-02-10,35.6500000000,35.7200000000,35.0100000000,35.4100000000,3875719,137060106.3600,1.549600
2026-02-11,35.4000000000,35.9100000000,35.2400000000,35.3100000000,2867574,101849101.0100,1.146500
2026-02-12,35.4700000000,35.4700000000,34.6200000000,34.7600000000,4754092,165685651.2300,1.900800
2026-02-13,34.6000000000,35.2700000000,34.1200000000,34.3000000000,4112225,142649774.2500,1.644100
2026-02-24,34.7500000000,35.5700000000,34.1500000000,34.8900000000,5484581,191945436.4300,2.192800
2026-02-25,34.9900000000,36.3000000000,34.9900000000,35.8100000000,5581651,199631998.0300,2.231600
2026-02-26,35.6700000000,35.7800000000,35.2800000000,35.4400000000,3821415,135478538.7200,1.527900
2026-02-27,35.4400000000,35.7800000000,35.0900000000,35.6000000000,4054266,144006681.4100,1.621000
2026-03-02,34.0000000000,34.9600000000,32.6900000000,33.1700000000,14247300,477510917.3800,5.696300
2026-03-03,33.1300000000,33.7000000000,31.7100000000,31.9400000000,8274147,268628006.1100,3.308100
2026-03-04,31.6300000000,32.5000000000,31.5000000000,31.5900000000,5735437,182917644.0000,2.293100
2026-03-05,32.0000000000,32.4000000000,30.9400000000,31.1300000000,5995657,189036604.3100,2.397200
2026-03-06,30.9700000000,32.1800000000,30.9700000000,32.0300000000,4382865,139027639.4500,1.752300
2026-03-09,31.8300000000,33.4200000000,31.8300000000,32.3600000000,7457488,243198145.2500,2.981600
2026-03-10,32.2000000000,32.6400000000,32.0600000000,32.4100000000,4546543,146935406.7300,1.817800
2026-03-11,32.4400000000,34.4600000000,32.1200000000,34.3400000000,8071250,267289934.7200,3.227000
2026-03-12,34.3700000000,35.6500000000,33.8000000000,34.8800000000,13032128,453457352.1500,5.210400
2026-03-13,37.0000000000,37.9800000000,35.3800000000,36.1200000000,16357381,595778809.6400,6.539900
2026-03-16,36.3900000000,36.8800000000,35.2000000000,35.8700000000,9293848,332009885.7400,3.715800
2026-03-17,35.5100000000,36.8700000000,34.2600000000,34.2600000000,8093820,286029086.3200,3.236000
2026-03-18,34.0700000000,34.4600000000,32.5200000000,32.8800000000,8830451,291225057.9400,3.530500
2026-03-19,33.3600000000,33.7800000000,32.5000000000,32.5600000000,8111086,268910545.7000,3.242900
2026-03-20,32.7300000000,32.7600000000,31.2300000000,31.2600000000,6954077,220489843.7900,2.780300
2026-03-23,30.6000000000,30.9000000000,28.6900000000,28.8000000000,8989519,268502468.4900,3.594100
2026-03-24,29.3700000000,29.4600000000,28.3700000000,29.3600000000,5527486,160119836.7100,2.210000
2026-03-25,29.3600000000,29.9900000000,29.2000000000,29.3300000000,4516870,133527789.9500,1.805900
