date,open,high,low,close,volume,amount,turn
2026-01-05,21.8200000000,22.3500000000,21.8200000000,22.1400000000,1783340,39565771.4000,3.359900
2026-01-06,22.1700000000,22.3600000000,22.0000000000,22.1500000000,1543707,34190384.1600,2.908400
2026-01-07,22.3500000000,24.0100000000,22.3500000000,23.7400000000,6012881,141109157.9400,11.328500
2026-01-08,23.5900000000,23.5900000000,23.1400000000,23.1700000000,3791700,88383243.5700,7.143700
2026-01-09,23.1700000000,23.3500000000,23.0600000000,23.1700000000,2176188,50467756.7600,4.100000
2026-01-12,23.2500000000,23.8600000000,22.6700000000,23.1900000000,5001562,115967275.0800,9.423100
2026-01-13,23.1900000000,23.3000000000,22.8800000000,22.8900000000,2379951,54898570.0100,4.483900
2026-01-14,23.0200000000,23.6700000000,22.7300000000,22.9500000000,5621760,129963028.2000,10.591600
2026-01-15,23.0500000000,23.5600000000,23.0000000000,23.4500000000,2833100,66199751.0000,5.337600
2026-01-16,23.5500000000,23.9800000000,23.3700000000,23.6800000000,3704245,87966341.4000,6.978900
2026-01-19,23.7100000000,24.1500000000,23.4500000000,23.8900000000,2898220,69224274.8000,5.460300
2026-01-20,23.8900000000,24.1400000000,23.6900000000,24.1400000000,2493605,59585369.8500,4.698000
2026-01-21,24.0100000000,24.4900000000,23.8500000000,24.2100000000,2603266,63220504.6000,3.313800
2026-01-22,24.2900000000,24.3900000000,24.0100000000,24.1100000000,1967940,47530331.6000,2.505100
2026-01-23,24.1600000000,24.2400000000,23.8100000000,23.8600000000,2440920,58532005.6000,3.107200
2026-01-26,23.9600000000,23.9900000000,23.4400000000,23.6800000000,2861579,67789638.1900,3.642700
2026-01-27,23.5700000000,23.7900000000,23.1500000000,23.7400000000,1812220,42606539.6000,2.306900
2026-01-28,23.6800000000,23.8500000000,23.1800000000,23.2000000000,2042160,47734458.2000,2.599600
2026-01-29,23.2000000000,23.3800000000,22.8200000000,23.0700000000,2016700,46595486.0000,2.567200
2026-01-30,22.9500000000,23.5400000000,22.8200000000,23.4300000000,2644900,61254233.8000,3.366800
2026-02-02,23.2700000000,23.6500000000,23.1300000000,23.1600000000,2119660,49640970.6000,2.698200
2026-02-03,23.4000000000,23.5200000000,23.0700000000,23.4400000000,1615980,37654509.8000,2.057100
2026-02-04,23.4400000000,23.6800000000,23.2400000000,23.4100000000,1829140,42899246.6000,2.328400
2026-02-05,23.5300000000,23.8500000000,23.1500000000,23.5600000000,2681100,63178705.0000,3.412900
2026-02-06,23.5800000000,24.9000000000,23.2900000000,24.7000000000,5934245,145311339.5500,7.554000
2026-02-09,25.1600000000,26.7400000000,25.0100000000,26.6100000000,10857254,285602974.3200,13.820800
2026-02-10,26.7800000000,26.7800000000,25.8400000000,26.1400000000,5196332,136129704.9300,6.614700
2026-02-11,26.1200000000,26.2300000000,25.7800000000,26.1400000000,3237160,84236992.0100,4.120800
2026-02-12,26.0300000000,26.6800000000,25.9500000000,26.1400000000,2992085,78755175.5100,3.808800
2026-02-13,26.1700000000,26.9900000000,26.1700000000,26.7200000000,3652500,97582090.2000,4.649500
2026-02-24,26.9600000000,27.4500000000,26.6000000000,27.2900000000,3560317,96713411.7300,4.532100
2026-02-25,27.2800000000,27.4400000000,26.8000000000,27.1300000000,3068671,83168371.5300,3.906300
2026-02-26,27.2700000000,27.5500000000,27.0300000000,27.3400000000,2302620,62795641.8000,2.931100
2026-02-27,27.3000000000,27.3800000000,26.9500000000,27.1800000000,2197980,59566418.8000,2.797900
2026-03-02,26.8000000000,27.6900000000,26.2100000000,26.5000000000,3520620,94026314.4000,4.481600
2026-03-03,26.8000000000,27.2400000000,26.2200000000,26.6400000000,4710175,125951680.5200,5.995800
2026-03-04,26.8900000000,26.8900000000,26.2600000000,26.5400000000,2442473,64870490.1700,3.109200
2026-03-05,26.9700000000,27.0600000000,26.2700000000,26.4000000000,1799063,47774458.5700,2.290100
2026-03-06,26.5300000000,28.2000000000,26.3700000000,27.8400000000,5436087,149549033.5400,6.919900
2026-03-09,27.4600000000,27.8100000000,26.6500000000,26.9300000000,3669627,99455071.4800,4.671300
2026-03-10,27.0500000000,27.2200000000,26.6700000000,26.8300000000,2284967,61555734.3300,2.908700
2026-03-11,26.8900000000,26.9300000000,25.7800000000,25.8700000000,3305239,86703012.9900,4.207400
2026-03-12,25.9200000000,25.9700000000,25.2000000000,25.2900000000,3400420,86544617.2000,4.328600
2026-03-13,25.6100000000,25.6900000000,24.7800000000,24.8600000000,2776940,69851203.2000,3.534900
2026-03-16,24.7600000000,24.9600000000,24.3800000000,24.8600000000,2638480,65152655.8900,3.358700
2026-03-17,24.8700000000,24.9700000000,24.1000000000,24.1300000000,2517220,61674385.6000,3.204300
2026-03-18,24.1400000000,24.3700000000,23.9400000000,24.3100000000,2441300,58954023.0700,3.107700
2026-03-19,24.2100000000,24.4500000000,23.8900000000,23.9700000000,2032500,49052804.0000,2.587300
2026-03-20,23.9700000000,24.4400000000,23.5100000000,23.5500000000,2139169,51125530.7300,2.723100
2026-03-23,23.1200000000,23.2900000000,21.7000000000,21.8000000000,3709000,83446497.8900,4.721400
2026-03-24,22.2400000000,23.2500000000,22.2400000000,23.1900000000,3495860,79705175.6000,4.450100
2026-03-25,23.2600000000,23.7100000000,23.2000000000,23.5100000000,1970500,46309327.8000,2.508400
