date,open,high,low,close,volume,amount,turn
2026-01-05,7.1500000000,7.1500000000,6.9400000000,7.1500000000,74913601,533767830.1500,13.828800
2026-01-06,7.2100000000,7.5900000000,7.1500000000,7.2800000000,118575802,873326300.3000,21.888700
2026-01-07,7.1600000000,8.0100000000,7.0000000000,7.7000000000,112991743,839170719.8000,20.857900
2026-01-08,7.3100000000,7.6100000000,7.3000000000,7.4200000000,84597227,629638467.5300,15.616400
2026-01-09,7.7500000000,7.9800000000,7.5300000000,7.6600000000,87349326,671403444.3400,16.124400
2026-01-12,7.4400000000,7.6100000000,7.4100000000,7.4700000000,76742768,574112825.5000,14.166400
2026-01-13,7.5400000000,8.2200000000,7.4100000000,8.2200000000,102982356,812510930.5700,19.010200
2026-01-14,8.2000000000,9.0400000000,7.9000000000,8.8000000000,168853753,1455695054.1800,31.169800
2026-01-15,8.3800000000,9.2800000000,8.1900000000,8.7200000000,129625307,1121830238.2500,23.928400
2026-01-16,8.1800000000,8.3400000000,7.8500000000,7.8500000000,102335538,819693503.2000,18.890800
2026-01-19,7.5900000000,8.2900000000,7.5100000000,8.0100000000,68202562,537654146.3700,12.590000
2026-01-20,7.8800000000,7.9100000000,7.6500000000,7.6900000000,49754525,385531569.8800,9.184500
2026-01-21,7.6300000000,8.4500000000,7.6300000000,8.1800000000,78824238,632425585.4800,14.550700
2026-01-22,8.1900000000,8.7900000000,8.1900000000,8.4000000000,85202413,720718805.0400,15.728100
2026-01-23,8.4100000000,8.6200000000,8.2300000000,8.4800000000,83708617,705378099.7300,15.452300
2026-01-26,8.5200000000,9.3000000000,8.4800000000,9.1000000000,119310626,1063743349.0900,22.024300
2026-01-27,8.6500000000,9.1100000000,8.4700000000,8.6900000000,82179802,717142170.3000,15.170100
2026-01-28,8.8900000000,9.5000000000,8.6800000000,9.0500000000,113690446,1033059259.6800,20.986900
2026-01-29,9.1000000000,9.9500000000,8.7900000000,9.7800000000,140154573,1314762211.2800,25.872000
2026-01-30,9.4500000000,10.3600000000,8.9000000000,9.0000000000,120354683,1155391079.8100,22.217100
2026-02-02,8.1000000000,8.3100000000,8.1000000000,8.1000000000,35986843,292065451.3000,6.643000
2026-02-03,7.5200000000,8.1300000000,7.5200000000,8.0200000000,75646256,585031357.9900,13.964000
2026-02-04,8.1500000000,8.5800000000,7.9800000000,8.3500000000,73550981,601195973.3400,13.577300
2026-02-05,8.1000000000,8.3900000000,7.8100000000,7.8100000000,50406202,405900520.8800,9.304800
2026-02-06,7.4600000000,8.3900000000,7.4500000000,8.2000000000,73877153,594895150.6900,13.637500
2026-02-09,8.3000000000,8.3900000000,8.1600000000,8.2800000000,49766668,412380997.7200,9.186800
2026-02-10,8.4000000000,8.4500000000,8.2400000000,8.2500000000,34471158,286672888.0600,6.363300
2026-02-11,8.2000000000,8.3400000000,8.1600000000,8.1600000000,31805801,261739774.1800,5.871200
2026-02-12,8.2200000000,8.2800000000,7.8400000000,7.8500000000,34465530,274608659.0700,6.362200
2026-02-13,7.8500000000,7.8500000000,7.6800000000,7.7000000000,22425551,173765791.7400,4.139700
2026-02-24,8.0800000000,8.4700000000,8.0100000000,8.4700000000,22641025,189197233.6200,4.179500
2026-02-25,8.4700000000,8.9100000000,8.3100000000,8.7900000000,99921741,871270320.5300,18.445200
2026-02-26,8.7300000000,8.9300000000,8.6000000000,8.7100000000,63644801,556121302.6900,11.748600
2026-02-27,8.6600000000,8.8200000000,8.5800000000,8.8000000000,49726106,432859172.2300,9.179300
2026-03-02,9.6800000000,9.6800000000,9.6000000000,9.6800000000,29559056,286076928.0800,5.456500
2026-03-03,10.6500000000,10.6500000000,10.6500000000,10.6500000000,4213100,44869515.0000,0.777700
2026-03-04,11.7200000000,11.7200000000,11.2600000000,11.7200000000,94199236,1099410625.5200,17.388900
2026-03-05,11.8900000000,12.8900000000,11.8900000000,12.7000000000,111622977,1409146807.7100,20.605200
2026-03-06,12.8100000000,13.6500000000,12.4500000000,13.2000000000,207642733,2726712406.3100,38.330100
2026-03-09,14.5200000000,14.5200000000,13.1300000000,13.2400000000,196160005,2720520231.0300,36.210500
2026-03-10,11.9200000000,12.4800000000,11.9200000000,11.9200000000,119282517,1433150463.9000,22.019100
2026-03-11,10.9900000000,12.5400000000,10.9900000000,12.0100000000,173175155,2010167516.2500,31.967500
2026-03-12,12.1300000000,12.5500000000,11.5200000000,11.7200000000,143488254,1721758496.9500,26.487400
2026-03-13,11.9000000000,12.0400000000,10.9400000000,11.2000000000,114851523,1311846347.3100,21.201200
2026-03-16,11.0400000000,11.8800000000,11.0400000000,11.3300000000,98374802,1124988682.9700,18.159600
2026-03-17,11.1800000000,12.0500000000,10.9300000000,11.8300000000,132700556,1514559786.1000,24.496100
2026-03-18,11.0000000000,11.2200000000,10.6500000000,11.0100000000,104836595,1141862528.6500,19.352500
2026-03-19,12.0100000000,12.1000000000,11.2800000000,11.6400000000,137610818,1603656013.7600,25.402500
2026-03-20,10.5000000000,10.8900000000,10.5000000000,10.6000000000,95054561,1015642251.7600,17.546700
2026-03-23,10.4000000000,11.0000000000,9.9100000000,10.7400000000,93746114,983932946.4600,17.305200
2026-03-24,10.1000000000,10.3700000000,9.8900000000,10.2500000000,82788615,840806704.5200,15.282500
2026-03-25,9.6000000000,10.1900000000,9.5000000000,9.9700000000,87122932,854143431.9000,16.082600
