date,open,high,low,close,volume,amount,turn
2026-01-05,55.1000000000,55.8900000000,52.8800000000,55.6100000000,4871046,263437677.8300,10.147300
2026-01-06,55.6100000000,61.1700000000,55.0600000000,61.1700000000,3952481,234267225.7300,8.233700
2026-01-07,60.0200000000,61.6700000000,58.4000000000,59.0500000000,4727100,281352638.6500,9.847400
2026-01-08,59.0000000000,63.5600000000,59.0000000000,62.8100000000,5149507,316064034.1700,10.727400
2026-01-09,63.0200000000,64.6600000000,61.5300000000,63.4300000000,3590101,225970531.2400,7.478800
2026-01-12,63.7000000000,64.5800000000,61.9000000000,64.0600000000,3449221,217481788.3100,7.185400
2026-01-13,64.0900000000,64.0900000000,60.3000000000,60.5800000000,2729600,169144285.2500,5.686300
2026-01-14,60.7500000000,61.7300000000,58.2000000000,59.1800000000,3859426,231737962.8500,8.039900
2026-01-15,58.9900000000,60.4300000000,58.7300000000,59.9500000000,1698416,101309936.0200,3.538100
2026-01-16,59.9100000000,60.0000000000,58.7000000000,58.8400000000,1597125,94358661.2000,3.327100
2026-01-19,58.6100000000,60.6000000000,58.1000000000,59.8300000000,1708251,101771160.3400,3.558600
2026-01-20,60.5400000000,60.5400000000,57.5100000000,58.0000000000,1530211,89141508.1900,3.187700
2026-01-21,57.4700000000,58.5300000000,56.5000000000,58.0000000000,1131460,65551316.2500,2.357000
2026-01-22,58.0100000000,59.3000000000,57.7900000000,58.9200000000,1352871,79335217.6400,2.818300
2026-01-23,59.0100000000,60.5800000000,59.0100000000,60.3600000000,1580772,94931449.2700,3.293000
2026-01-26,60.4900000000,62.1000000000,57.5700000000,58.3000000000,1876585,110935800.0700,3.909300
2026-01-27,57.9100000000,58.7000000000,56.0000000000,57.9300000000,1303661,74664753.8100,2.715800
2026-01-28,58.0200000000,58.3800000000,56.6100000000,57.1000000000,1195120,68324600.9800,2.489700
2026-01-29,57.0900000000,57.5000000000,54.6700000000,55.0000000000,1390606,77855487.2900,2.896900
2026-01-30,55.0400000000,56.2300000000,54.4000000000,55.8000000000,1088249,60302010.8900,2.267000
2026-02-02,56.1000000000,56.1000000000,54.0100000000,54.0700000000,939241,51740655.0800,1.956600
2026-02-03,54.3400000000,57.9700000000,54.3400000000,57.1500000000,2089328,118018835.9400,4.352400
2026-02-04,57.1500000000,58.1800000000,56.1100000000,57.0000000000,951000,54527363.0000,1.981100
2026-02-05,56.9900000000,57.4600000000,55.6800000000,55.8000000000,915171,51341440.4900,1.906500
2026-02-06,55.1300000000,57.1000000000,55.1100000000,56.0200000000,842500,47551589.0000,1.755100
2026-02-09,56.9000000000,57.7000000000,55.3500000000,57.2500000000,1494411,84569939.3200,3.113100
2026-02-10,57.2800000000,57.3000000000,56.4400000000,56.7600000000,970105,55142446.4000,2.020900
2026-02-11,56.7300000000,57.1700000000,56.5400000000,56.5800000000,534134,30324823.0600,1.112700
2026-02-12,56.9800000000,58.4900000000,56.3700000000,57.5600000000,1010589,58074508.7300,2.105200
2026-02-13,57.5800000000,57.5800000000,55.8100000000,56.0500000000,868655,49251449.9500,1.809600
2026-02-24,56.6000000000,58.1000000000,56.5600000000,58.0100000000,1458085,83727821.7500,3.037500
2026-02-25,58.0100000000,59.1600000000,57.6200000000,58.8500000000,1584256,92797951.6500,3.300300
2026-02-26,58.9200000000,61.7800000000,58.9200000000,59.9600000000,2006977,120461700.7100,4.180900
2026-02-27,59.3600000000,60.2000000000,58.0900000000,59.0200000000,1437150,84528043.7500,2.993800
2026-03-02,58.1100000000,58.6700000000,56.5600000000,57.2200000000,1462976,83752657.2700,3.047600
2026-03-03,57.2200000000,57.2200000000,53.6100000000,53.8200000000,1801962,99087579.6000,3.753800
2026-03-04,53.7000000000,53.8800000000,52.1000000000,52.8100000000,1535913,81335876.2600,3.199600
2026-03-05,54.5400000000,57.8000000000,54.0000000000,56.9600000000,3209460,179534800.3500,6.685900
2026-03-06,56.4000000000,61.5500000000,55.7000000000,60.7000000000,5020230,297659287.2400,10.458000
2026-03-09,59.3900000000,60.5500000000,55.0100000000,59.5900000000,4116798,236818296.5400,8.576000
2026-03-10,59.0000000000,65.5500000000,59.0000000000,65.5500000000,4511964,286895128.9600,9.399200
2026-03-11,66.8700000000,68.1800000000,64.7200000000,65.1500000000,6181736,408042545.2500,12.877700
2026-03-12,65.1500000000,65.3000000000,60.0200000000,61.3000000000,4405364,273361754.7500,9.177200
2026-03-13,61.2100000000,62.9500000000,60.0000000000,60.4700000000,3112460,190337477.6500,6.483800
2026-03-16,60.4100000000,61.1000000000,58.5000000000,58.8900000000,2171165,128584624.8000,4.522900
2026-03-17,60.2900000000,62.9900000000,56.7100000000,57.0400000000,3473559,206248237.8400,7.236100
2026-03-18,57.2800000000,58.0000000000,55.5700000000,56.8000000000,2276340,128537268.6500,4.742000
2026-03-19,56.1700000000,56.1700000000,53.8800000000,54.0600000000,2079396,113717630.1800,4.331800
2026-03-20,55.0100000000,55.8000000000,53.5500000000,53.8400000000,2024183,110600655.9800,4.216700
2026-03-23,52.8000000000,53.8000000000,49.6600000000,49.7800000000,2259526,116206690.8800,4.707000
2026-03-24,51.0200000000,51.7400000000,49.8100000000,51.6300000000,1298604,65975067.1100,2.705200
2026-03-25,51.9800000000,54.5500000000,51.9800000000,53.8700000000,1966416,105255403.9000,4.096400
