date,open,high,low,close,volume,amount,turn
2026-01-05,37.6600000000,38.5000000000,36.6400000000,38.1200000000,6346707,239417753.0900,1.426200
2026-01-06,38.1900000000,39.3000000000,37.4500000000,37.8000000000,5284906,200727191.7600,1.187600
2026-01-07,37.7800000000,39.2000000000,37.5000000000,38.8100000000,7686494,296456985.4800,1.727300
2026-01-08,38.5600000000,38.9500000000,37.7300000000,38.0100000000,5841709,222495902.3900,1.312700
2026-01-09,38.1900000000,39.3500000000,37.8000000000,38.9400000000,5971270,231485999.9400,1.341800
2026-01-12,38.9500000000,39.8100000000,38.4500000000,39.4900000000,7319502,286431663.2000,1.644800
2026-01-13,39.6000000000,40.7200000000,39.0000000000,39.2700000000,8440870,335380720.9300,1.896800
2026-01-14,39.2700000000,39.7900000000,37.9100000000,38.6900000000,7356115,285975282.7600,1.653000
2026-01-15,38.6000000000,39.3800000000,38.2700000000,38.7600000000,4151273,160612387.6800,0.932900
2026-01-16,39.5500000000,41.1900000000,38.9500000000,40.8200000000,10530807,424132009.8300,2.366400
2026-01-19,41.5000000000,42.9000000000,40.4800000000,40.7400000000,10936743,451929096.3500,2.457600
2026-01-20,40.1800000000,40.7800000000,38.8900000000,39.3000000000,7560417,299540192.2900,1.698900
2026-01-21,39.0200000000,40.4800000000,39.0000000000,39.8300000000,5748361,229354722.1000,1.291700
2026-01-22,39.9900000000,40.8700000000,39.4900000000,39.8200000000,6316530,253127918.5800,1.419400
2026-01-23,40.0300000000,41.5800000000,39.8100000000,41.3000000000,8978251,367487993.3100,2.017500
2026-01-26,41.8000000000,43.8500000000,40.4100000000,43.5700000000,19561560,834693909.6400,4.395800
2026-01-27,43.5000000000,43.5000000000,40.8500000000,42.6300000000,12342031,520186274.0000,2.773400
2026-01-28,42.7200000000,42.9800000000,40.9000000000,41.3800000000,7866809,325215779.1900,1.767800
2026-01-29,40.0200000000,41.5700000000,39.3000000000,39.4400000000,7776119,313658999.7600,1.747400
2026-01-30,39.3100000000,40.4000000000,38.1000000000,39.9300000000,6287396,247796189.8200,1.412900
2026-02-02,39.9800000000,40.7000000000,39.3900000000,39.4900000000,5808370,232517406.2000,1.305200
2026-02-03,40.2800000000,44.1400000000,39.7600000000,43.9000000000,13708952,579349745.0200,3.080600
2026-02-04,43.7800000000,45.4300000000,42.6000000000,43.3000000000,11178067,490156406.2400,2.511900
2026-02-05,43.1500000000,43.5200000000,42.0000000000,43.1300000000,5408528,231788832.3900,1.215400
2026-02-06,42.5600000000,43.1700000000,41.9100000000,42.5900000000,5889580,250906272.1300,1.323500
2026-02-09,43.1600000000,43.6500000000,41.7800000000,43.3200000000,6889366,295004952.8200,1.548100
2026-02-10,43.1100000000,43.9000000000,42.2300000000,42.6200000000,5831235,250694478.9200,1.310400
2026-02-11,42.8700000000,43.6500000000,41.8000000000,41.9800000000,4332015,184075867.8000,0.973500
2026-02-12,41.9900000000,43.8400000000,41.9800000000,43.1600000000,5820625,250980738.4400,1.308000
2026-02-13,42.9500000000,44.6100000000,42.5000000000,43.5000000000,6231716,270567187.7900,1.400400
2026-02-24,43.5000000000,43.6500000000,41.3100000000,42.4100000000,7143173,301958082.4300,1.605200
2026-02-25,43.1600000000,43.8700000000,41.3200000000,42.9200000000,8323877,352794106.2500,1.870500
2026-02-26,42.5400000000,44.7400000000,42.3300000000,44.6600000000,7112607,312933290.7800,1.598300
2026-02-27,44.2200000000,45.6400000000,43.3000000000,45.4000000000,7986749,355957496.4700,1.794700
2026-03-02,44.8000000000,50.9800000000,44.6700000000,48.8000000000,19215236,940320604.6600,4.317900
2026-03-03,48.1800000000,48.8800000000,45.0000000000,45.0000000000,14950519,691635874.1300,3.359600
2026-03-04,44.7100000000,46.4000000000,44.2600000000,44.5200000000,8165245,367551172.6300,1.834900
2026-03-05,44.6900000000,46.1000000000,44.5600000000,45.6500000000,9171129,415627504.8600,2.060900
2026-03-06,45.0200000000,48.8100000000,44.7700000000,47.7300000000,10761015,509645888.4700,2.418200
2026-03-09,46.0000000000,49.1600000000,44.2800000000,48.3500000000,12254455,572138974.5200,2.753800
2026-03-10,49.2300000000,51.3900000000,48.5100000000,51.0700000000,12639755,629158157.5000,2.840300
2026-03-11,51.0000000000,56.1300000000,50.5100000000,54.2000000000,18433658,1003009466.0600,4.142300
2026-03-12,55.0000000000,64.8800000000,55.0000000000,63.5400000000,28743766,1747443783.6500,6.459100
2026-03-13,65.1000000000,69.2600000000,65.1000000000,66.0000000000,27286267,1821195165.7100,6.131600
2026-03-16,65.7700000000,66.4000000000,60.7400000000,63.1000000000,22205580,1391336229.0500,4.989900
2026-03-17,62.8700000000,63.4400000000,59.5000000000,59.9100000000,14398474,877163504.7500,3.235500
2026-03-18,60.3300000000,60.5000000000,58.0800000000,59.6400000000,8725302,518837152.2400,1.960700
2026-03-19,58.2300000000,59.3000000000,57.0000000000,57.5900000000,9528940,552323926.9400,2.141300
2026-03-20,57.4900000000,62.3000000000,57.3200000000,57.5100000000,15586724,930271334.8900,3.502600
2026-03-23,55.9300000000,57.4700000000,53.2000000000,53.5900000000,12841794,709002544.6600,2.885700
2026-03-24,54.7000000000,55.2900000000,53.1400000000,55.1600000000,9847585,533469115.3300,2.212900
2026-03-25,55.4200000000,59.0000000000,55.4200000000,57.4400000000,10760195,617135349.6700,2.418000
